model,variable,name,yaml
ccam_noresm2-mm_historical_aus-10i_12km,"['ta400', 'zmla', 'wa20', 'zg300', 'ua850', 'snc', 'va10', 'va20', 'rsus', 'va500', 'rlds', 'sfcWindmax', 'rlutcs', 'clh', 'tauv', 'zg400', 'ua300', 'ua100', 'wsgsmax', 'ts', 'psl', 'rlus', 'rsdsdir', 'mrfso', 'hus850', 'zg600', 'va850', 'zg1000', 'va150m', 'huss', 'CAPE', 'wa700', 'tasmin', 'va200', 'ua700', 'clwvi', 'mrsol', 'ua50m', 'wa200', 'va50', 'zg850', 'hus500', 'hus10', 'hfls', 'evspsbl', 'hurs', 'va70', 'uas', 'wa100', 'evspsblpot', 'rsds', 'ua100m', 'va700', 'snw', 'ua500', 'mrsos', 'ta200', 'mrfsol', 'zg200', 'va925', 'ta850', 'ta70', 'sfcWind', 'ua10', 'pr', 'cll', 'prsn', 'va250m', 'ps', 'ua250', 'zg10', 'ua1000', 'hus400', 'hus925', 'wa500', 'ua150m', 'hus300', 'ta10', 'va50m', 'ta300', 'prhmax', 'ua250m', 'zg250', 'hus200', 'wa250', 'va300m', 'snd', 'rsutcs', 'wa850', 'wa400', 'mrro', 'va1000', 'va300', 'vas', 'mrros', 'hus1000', 'ua20', 'va100m', 'ua200', 'va400', 'rsdt', 'ua400', 'rlut', 'clivi', 'tsl', 'ua30', 'hus150', 'wa50', 'wa300', 'va100', 'zg30', 'prw', 'zg50', 'sund', 'ua150', 'va250', 'ua200m', 'wa150', 'hus600', 'wa10', 'z0', 'ua70', 'va150', 'snm', 'zg700', 'rluscs', 'ta30', 'hus20', 'ua600', 'hus50', 'ta500', 'wa70', 'rsut', 'ta1000', 'rldscs', 'hfss', 'zg500', 'ta100', 'hus250', 'rsdscs', 'mrfsos', 'va200m', 'prc', 'hus70', 'va30', 'ua300m', 'tas', 'zg20', 'wa1000', 'wa925', 'zg150', 'CIN', 'ua925', 'tauu', 'ta925', 'hus30', 'zg925', 'hus700', 'wa30', 'clt', 'zg70', 'tasmax', 'zg100', 'wa600', 'ta250', 'ta600', 'ua50', 'clm', 'ta20', 'mrso', 'ta150', 'hus100', 'ta50', 'va600', 'rsuscs', 'ta700']",ccam_noresm2-mm_historical_aus-10i_12km,"sources:
  ccam_noresm2-mm_historical_aus-10i_12km:
    args:
      obj: /g/data/v14/tm4888/code/ACS/data-catalogue/catalogues/nested_test/ccam_noresm2-mm_historical_aus-10i_12km/ccam_noresm2-mm_historical_aus-10i_12km.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
ccam_noresm2-mm_ssp126_aus-10i_12km,"['ta400', 'zmla', 'wa20', 'zg300', 'ua850', 'snc', 'va10', 'va20', 'rsus', 'va500', 'rlds', 'sfcWindmax', 'rlutcs', 'clh', 'tauv', 'zg400', 'ua300', 'ua100', 'wsgsmax', 'ts', 'psl', 'rlus', 'rsdsdir', 'mrfso', 'hus850', 'zg600', 'va850', 'zg1000', 'va150m', 'huss', 'CAPE', 'wa700', 'tasmin', 'va200', 'ua700', 'clwvi', 'mrsol', 'ua50m', 'wa200', 'va50', 'zg850', 'hus500', 'hus10', 'hfls', 'evspsbl', 'hurs', 'va70', 'uas', 'wa100', 'evspsblpot', 'rsds', 'ua100m', 'va700', 'snw', 'ua500', 'mrsos', 'ta200', 'mrfsol', 'zg200', 'va925', 'ta850', 'ta70', 'sfcWind', 'ua10', 'pr', 'cll', 'prsn', 'va250m', 'ps', 'ua250', 'zg10', 'ua1000', 'hus400', 'hus925', 'wa500', 'ua150m', 'hus300', 'ta10', 'va50m', 'ta300', 'prhmax', 'ua250m', 'zg250', 'hus200', 'wa250', 'va300m', 'snd', 'rsutcs', 'wa850', 'wa400', 'mrro', 'va1000', 'va300', 'vas', 'mrros', 'hus1000', 'ua20', 'va100m', 'ua200', 'va400', 'rsdt', 'ua400', 'rlut', 'clivi', 'tsl', 'ua30', 'hus150', 'wa50', 'wa300', 'va100', 'zg30', 'prw', 'zg50', 'sund', 'ua150', 'va250', 'ua200m', 'wa150', 'hus600', 'wa10', 'z0', 'ua70', 'va150', 'snm', 'zg700', 'rluscs', 'ta30', 'hus20', 'ua600', 'hus50', 'ta500', 'wa70', 'rsut', 'ta1000', 'rldscs', 'hfss', 'zg500', 'ta100', 'hus250', 'rsdscs', 'mrfsos', 'va200m', 'prc', 'hus70', 'va30', 'ua300m', 'tas', 'zg20', 'wa1000', 'wa925', 'zg150', 'CIN', 'ua925', 'tauu', 'ta925', 'hus30', 'zg925', 'hus700', 'wa30', 'clt', 'zg70', 'tasmax', 'zg100', 'wa600', 'ta250', 'ta600', 'ua50', 'clm', 'ta20', 'mrso', 'ta150', 'hus100', 'ta50', 'va600', 'rsuscs', 'ta700']",ccam_noresm2-mm_ssp126_aus-10i_12km,"sources:
  ccam_noresm2-mm_ssp126_aus-10i_12km:
    args:
      obj: /g/data/v14/tm4888/code/ACS/data-catalogue/catalogues/nested_test/ccam_noresm2-mm_ssp126_aus-10i_12km/ccam_noresm2-mm_ssp126_aus-10i_12km.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
