model,variable,name,yaml
ccam_noresm2-mm_historical_aus-10i_12km,"['ua700', 'rldscs', 'tasmax', 'ua300m', 'snm', 'hus70', 'zg30', 'clt', 'hus925', 'ta850', 'zg500', 'huss', 'ta30', 'hus850', 'ta925', 'va20', 'sfcWindmax', 'va250', 'pr', 'ua20', 'va700', 'mrfsos', 'va300', 'rsdt', 'mrros', 'wa300', 'wa925', 'sund', 'ua600', 'ta600', 'va100', 'evspsblpot', 'hus200', 'wsgsmax', 'ua400', 'zg925', 'rlds', 'ua250', 'mrfso', 'va30', 'zmla', 'zg600', 'mrro', 'zg50', 'uas', 'vas', 'va850', 'ua300', 'wa500', 'va50', 'wa700', 'prsn', 'rsdsdir', 'wa850', 'ta100', 'va70', 'zg850', 'zg300', 'wa250', 'ua70', 'ta10', 'CAPE', 'va250m', 'mrsos', 'rlutcs', 'hus50', 'ua150', 'clivi', 'ps', 'wa600', 'zg20', 'va300m', 'zg150', 'rlut', 'ua10', 'rlus', 'ta250', 'zg200', 'hus10', 'zg100', 'zg250', 'hus30', 'hfss', 'mrfsol', 'ua200m', 'rluscs', 'CIN', 'va200m', 'hfls', 'zg70', 'sfcWind', 'ua100', 'tauv', 'wa200', 'va100m', 'rsut', 'rsds', 'cll', 'va150', 'zg10', 'tasmin', 'hus700', 'ta700', 'ua50m', 'rsutcs', 'tauu', 'clwvi', 'hurs', 'hus20', 'ua250m', 'ta70', 'evspsbl', 'psl', 'ts', 'va50m', 'va1000', 'prc', 'va500', 'wa1000', 'ua500', 'wa150', 'ua850', 'ta400', 'va600', 'ta200', 'hus1000', 'wa10', 'ua925', 'va400', 'ta150', 'wa50', 'zg400', 'prw', 'wa20', 'rsus', 'hus600', 'ta50', 'ta1000', 'ua200', 'prhmax', 'wa30', 'ua1000', 'rsuscs', 'snc', 'ta300', 'va200', 'ua30', 'wa100', 'hus500', 'hus250', 'clm', 'mrso', 'tsl', 'hus300', 'va10', 'rsdscs', 'ta500', 'ua100m', 'ua50', 'wa400', 'hus100', 'tas', 'va925', 'clh', 'zg700', 'z0', 'ta20', 'zg1000', 'hus150', 'snw', 'va150m', 'wa70', 'ua150m', 'snd', 'mrsol', 'hus400']",ccam_noresm2-mm_historical_aus-10i_12km,"sources:
  ccam_noresm2-mm_historical_aus-10i_12km:
    args:
      obj: /g/data/v14/tm4888/code/ACS/data-catalogue/catalogues/ccam_noresm2-mm_historical_aus-10i_12km.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
ccam_noresm2-mm_ssp126_aus-10i_12km,"['ua700', 'rldscs', 'tasmax', 'ua300m', 'snm', 'hus70', 'zg30', 'clt', 'hus925', 'ta850', 'zg500', 'huss', 'ta30', 'hus850', 'ta925', 'va20', 'sfcWindmax', 'va250', 'pr', 'ua20', 'va700', 'mrfsos', 'va300', 'rsdt', 'mrros', 'wa300', 'wa925', 'sund', 'ua600', 'ta600', 'va100', 'evspsblpot', 'hus200', 'wsgsmax', 'ua400', 'zg925', 'rlds', 'ua250', 'mrfso', 'va30', 'zmla', 'zg600', 'mrro', 'zg50', 'uas', 'vas', 'va850', 'ua300', 'wa500', 'va50', 'wa700', 'prsn', 'rsdsdir', 'wa850', 'ta100', 'va70', 'zg850', 'zg300', 'wa250', 'ua70', 'ta10', 'CAPE', 'va250m', 'mrsos', 'rlutcs', 'hus50', 'ua150', 'clivi', 'ps', 'wa600', 'zg20', 'va300m', 'zg150', 'rlut', 'ua10', 'rlus', 'ta250', 'zg200', 'hus10', 'zg100', 'zg250', 'hus30', 'hfss', 'mrfsol', 'ua200m', 'rluscs', 'CIN', 'va200m', 'hfls', 'zg70', 'sfcWind', 'ua100', 'tauv', 'wa200', 'va100m', 'rsut', 'rsds', 'cll', 'va150', 'zg10', 'tasmin', 'hus700', 'ta700', 'ua50m', 'rsutcs', 'tauu', 'clwvi', 'hurs', 'hus20', 'ua250m', 'ta70', 'evspsbl', 'psl', 'ts', 'va50m', 'va1000', 'prc', 'va500', 'wa1000', 'ua500', 'wa150', 'ua850', 'ta400', 'va600', 'ta200', 'hus1000', 'wa10', 'ua925', 'va400', 'ta150', 'wa50', 'zg400', 'prw', 'wa20', 'rsus', 'hus600', 'ta50', 'ta1000', 'ua200', 'prhmax', 'wa30', 'ua1000', 'rsuscs', 'snc', 'ta300', 'va200', 'ua30', 'wa100', 'hus500', 'hus250', 'clm', 'mrso', 'tsl', 'hus300', 'va10', 'rsdscs', 'ta500', 'ua100m', 'ua50', 'wa400', 'hus100', 'tas', 'va925', 'clh', 'zg700', 'z0', 'ta20', 'zg1000', 'hus150', 'snw', 'va150m', 'wa70', 'ua150m', 'snd', 'mrsol', 'hus400']",ccam_noresm2-mm_ssp126_aus-10i_12km,"sources:
  ccam_noresm2-mm_ssp126_aus-10i_12km:
    args:
      obj: /g/data/v14/tm4888/code/ACS/data-catalogue/catalogues/ccam_noresm2-mm_ssp126_aus-10i_12km.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
